,bike_name,price,kms_driven,age,brand,Owner_Type
5233,Bajaj Pulsar 180cc,36999,57811,8,Bajaj,0
5234,Royal Enfield Classic,110439,3000,9,Royal Enfield,0
5235,Royal Enfield Classic,116762,30000,7,Royal Enfield,0
5236,Honda CB Hornet,67000,12000,4,Honda,0
5237,Yamaha Fazer 150cc,40000,38000,8,Yamaha,0
5238,Bajaj Platina 100cc,26000,17695,8,Bajaj,0
5239,Royal Enfield Classic,140000,9788,5,Royal Enfield,0
5240,TVS Apache RTR,92300,10000,4,TVS,0
5241,Hero Passion Plus,20100,45330,14,Hero,0
5242,Bajaj Pulsar AS150,69000,22000,6,Bajaj,0
5243,Honda CB Unicorn,26000,33000,12,Honda,0
5244,Royal Enfield Thunderbird,139000,17000,4,Royal Enfield,0
5245,Royal Enfield Thunderbird,97500,19562,7,Royal Enfield,0
5246,Yamaha FZs 150cc,48000,11000,7,Yamaha,0
5247,Royal Enfield Thunderbird,140900,1400,6,Royal Enfield,0
5248,Royal Enfield Thunderbird,179000,14000,4,Royal Enfield,0
5249,Bajaj Pulsar 150cc,25000,60000,9,Bajaj,0
5250,Royal Enfield Classic,180000,4030,4,Royal Enfield,0
5251,Bajaj Avenger Street,84000,1920,4,Bajaj,0
5252,Royal Enfield Thunderbird,125000,20000,6,Royal Enfield,0
5253,Bajaj Pulsar AS200,55000,27000,8,Bajaj,0
5254,Hero Xtreme Sports,65000,3200,5,Hero,0
5255,Suzuki Gixxer SF,88000,8000,4,Suzuki,0
5256,Honda Dream Yuga,27500,18000,7,Honda,0
5257,Royal Enfield‎ Bullet,80000,23895,7,Royal Enfield,0
5258,Hero Splendor Plus,19600,42000,11,Hero,2
5259,Royal Enfield Bullet,95000,25000,5,Royal Enfield,0
5260,Royal Enfield Electra,99000,23397,4,Royal Enfield,0
5261,Hero CBZ 150cc,30000,51528,9,Hero,0
5262,Bajaj Pulsar 220cc,120000,10147,3,Bajaj,0
5263,Bajaj Pulsar RS200,110000,9119,5,Bajaj,0
5264,KTM Duke 390cc,100000,7000,7,KTM,0
5265,Honda CB ShineSP,55000,10000,4,Honda,0
5266,Hero Honda Splendor,21000,19000,10,Hero,0
5267,Hero Splendor NXG,20000,70628,10,Hero,0
5268,Hero Passion Pro,25000,58137,10,Hero,0
5269,Hero Karizma R,42000,35000,7,Hero,0
5270,Royal Enfield Classic,110000,5073,5,Royal Enfield,0
5271,KTM Duke 390cc,106000,14403,5,KTM,0
